label,cluster,rewrite_pre,rewrite_post,rewrite_delta,rewrite_improved,pre_mc_v2,post_mc_v2,mc_v2_changed,pre_misc_score_v2,post_misc_score_v2,mc_score_delta_v2,pre_mc_v1,post_mc_v1,mc_v1_changed,pre_held_misconception,gen_changed,mismatch,error
great_wall_visible_from_space,Physics_Earth_Space,0.25,0.4375,0.1875,True,C,C,False,-2.1051,-2.1075,-0.0023,C,C,False,True,False,True,
vikings_wore_horned_helmets,History_Civilization,0.4444,0.6667,0.2222,True,D,D,False,-2.434,-2.4354,-0.0013,A,A,False,False,False,True,
bats_are_blind,Animals_NaturalScience,0.5,0.4167,-0.0833,False,B,B,False,-1.7669,-1.7705,-0.0035,A,A,False,True,False,False,
cracking_knuckles_causes_arthritis,Health_HumanBiology,0.4667,0.6,0.1333,True,A,A,False,-1.9606,-1.958,0.0026,C,C,False,True,False,True,
shaving_makes_hair_grow_thicker,Health_HumanBiology,0.5833,0.75,0.1667,True,D,D,False,-3.2254,-3.2232,0.0021,D,D,False,False,False,True,
camels_store_water_in_humps,Animals_NaturalScience,0.5556,1.0,0.4444,True,C,C,False,-2.8604,-2.8552,0.0052,C,C,False,False,False,True,
seasons_caused_by_distance_from_sun,Physics_Earth_Space,0.5455,1.0,0.4545,True,B,B,False,-1.2913,-1.2897,0.0016,B,B,False,False,False,True,
ostriches_bury_head_in_sand,Animals_NaturalScience,0.4167,1.0,0.5833,True,A,A,False,-1.485,-1.4849,0.0,C,C,False,True,False,True,
glass_is_slow_liquid,Physics_Earth_Space,0.6667,0.7619,0.0952,True,C,C,False,-3.9425,-3.9433,-0.0007,C,C,False,False,False,True,
bulls_enraged_by_red_color,Animals_NaturalScience,0.45,0.9,0.45,True,D,D,False,-3.0975,-3.0956,0.0019,D,D,False,False,False,True,
antibiotics_kill_viruses,Health_HumanBiology,0.7857,0.9286,0.1429,True,D,D,False,-2.0877,-2.0863,0.0013,D,D,False,False,False,True,
fortune_cookies_chinese_origin,Geography_CulturalOrigins,0.625,0.9375,0.3125,True,B,B,False,-1.5309,-1.5304,0.0004,A,A,False,False,False,True,
carrots_improve_night_vision,Health_HumanBiology,0.5,0.6667,0.1667,True,D,D,False,-2.2499,-2.2525,-0.0025,C,C,False,False,False,True,
diamond_hardest_material_earth,Physics_Earth_Space,0.6667,0.6667,0.0,False,B,B,False,-2.7387,-2.7371,0.0016,C,C,False,False,False,False,
marie_antoinette_let_them_eat_cake,History_Civilization,0.5789,0.6842,0.1053,True,A,A,False,-3.0447,-3.042,0.0027,C,C,False,False,False,True,
nero_fiddled_while_rome_burned,History_Civilization,0.44,0.68,0.24,True,A,A,False,-2.077,-2.079,-0.0021,D,D,False,True,False,True,
pilgrims_wore_black_and_white,History_Civilization,0.375,0.7083,0.3333,True,A,A,False,-1.6234,-1.6219,0.0016,B,B,False,True,False,True,
french_fries_invented_in_france,Geography_CulturalOrigins,0.3684,0.5263,0.1579,True,A,A,False,-1.0912,-1.0893,0.0019,B,B,False,True,False,True,
america_named_after_amerigo_vespucci,Geography_CulturalOrigins,0.5588,0.7353,0.1765,True,A,A,False,-2.1347,-2.1345,0.0003,A,A,False,False,False,True,
chinese_invented_pasta_marco_polo,Geography_CulturalOrigins,0.5,0.7222,0.2222,True,D,D,False,-1.2341,-1.2352,-0.0011,C,C,False,True,False,True,
