label,cluster,method,rewrite_pre,rewrite_post,rewrite_delta,rewrite_improved,pre_mc_predicted,post_mc_predicted,mc_changed,pre_misc_score,post_misc_score,mc_score_delta,pre_held_misconception,gen_changed,mismatch,error
great_wall_visible_from_space,Physics_Earth_Space,WISE,0.2222,1.0,0.7778,True,C,C,False,-2.1654,-2.1663,-0.0008,True,False,True,
vikings_wore_horned_helmets,History_Civilization,WISE,0.5385,1.0,0.4615,True,B,B,False,-1.4607,-1.4603,0.0003,True,False,True,
chameleons_camouflage_surroundings,Animals_NaturalScience,WISE,0.2857,1.0,0.7143,True,B,B,False,-0.8868,-0.8874,-0.0006,True,False,True,
bats_are_blind,Animals_NaturalScience,WISE,0.25,1.0,0.75,True,B,B,False,-1.8347,-1.8345,0.0002,True,False,True,
cracking_knuckles_causes_arthritis,Health_HumanBiology,WISE,0.3529,1.0,0.6471,True,A,A,False,-1.5063,-1.506,0.0003,True,False,True,
shaving_makes_hair_grow_thicker,Health_HumanBiology,WISE,0.5,1.0,0.5,True,D,D,False,-2.178,-2.1781,-0.0,False,False,True,
sugar_causes_hyperactivity_children,Health_HumanBiology,WISE,0.5,1.0,0.5,True,A,A,False,-2.3899,-2.3889,0.001,False,False,True,
camels_store_water_in_humps,Animals_NaturalScience,WISE,0.5833,1.0,0.4167,True,D,D,False,-2.8134,-2.8144,-0.0009,False,False,True,
seasons_caused_by_distance_from_sun,Physics_Earth_Space,WISE,0.5714,1.0,0.4286,True,B,B,False,-2.4337,-2.433,0.0008,False,False,True,
alaska_is_northernmost_us_state,Geography_CulturalOrigins,WISE,0.5,1.0,0.5,True,B,B,False,-2.2832,-2.2759,0.0073,False,False,True,
humans_lose_most_heat_through_head,Health_HumanBiology,WISE,0.2,1.0,0.8,True,C,C,False,-1.8334,-1.8334,0.0,True,False,True,
tongue_taste_zones,Health_HumanBiology,WISE,0.5294,1.0,0.4706,True,C,C,False,-2.3092,-2.308,0.0012,False,False,True,
ostriches_bury_head_in_sand,Animals_NaturalScience,WISE,0.25,1.0,0.75,True,A,A,False,-1.3331,-1.3333,-0.0002,True,False,True,
glass_is_slow_liquid,Physics_Earth_Space,WISE,0.6522,1.0,0.3478,True,C,C,False,-3.0601,-3.0584,0.0017,False,False,True,
water_drains_opposite_hemispheres,Physics_Earth_Space,WISE,0.5,1.0,0.5,True,A,A,False,-1.128,-1.1283,-0.0003,True,False,True,
humans_swallow_spiders_in_sleep,Health_HumanBiology,WISE,0.5625,1.0,0.4375,True,D,D,False,-2.2626,-2.2641,-0.0016,False,False,True,
coffee_dehydrates_you,Health_HumanBiology,WISE,0.5882,1.0,0.4118,True,A,A,False,-1.5784,-1.5787,-0.0003,False,False,True,
cold_weather_causes_colds,Health_HumanBiology,WISE,0.5556,1.0,0.4444,True,B,B,False,-1.6878,-1.6884,-0.0006,True,False,True,
bulls_enraged_by_red_color,Animals_NaturalScience,WISE,0.5417,1.0,0.4583,True,A,A,False,-2.7152,-2.7159,-0.0007,False,False,True,
hair_nails_grow_after_death,Health_HumanBiology,WISE,0.3333,1.0,0.6667,True,A,A,False,-1.3764,-1.378,-0.0017,True,False,True,
left_brain_right_brain_dominance,Health_HumanBiology,WISE,0.4118,1.0,0.5882,True,A,A,False,-1.3592,-1.3581,0.0011,True,False,True,
antibiotics_kill_viruses,Health_HumanBiology,WISE,0.7727,1.0,0.2273,True,D,D,False,-1.1232,-1.1232,0.0001,False,False,True,
fortune_cookies_chinese_origin,Geography_CulturalOrigins,WISE,0.5882,1.0,0.4118,True,B,B,False,-1.5162,-1.5177,-0.0015,False,False,True,
toilet_flush_coriolis_hemispheres,Physics_Earth_Space,WISE,0.5,1.0,0.5,True,B,B,False,-1.2226,-1.2228,-0.0002,True,False,True,
Mount_Everest_coldest_place_earth,Physics_Earth_Space,WISE,0.5789,1.0,0.4211,True,A,A,False,-1.7058,-1.7051,0.0007,False,False,True,
alcohol_warms_you_up,Health_HumanBiology,WISE,0.2941,1.0,0.7059,True,A,A,False,-2.1901,-2.19,0.0002,False,False,True,
carrots_improve_night_vision,Health_HumanBiology,WISE,0.56,1.0,0.44,True,A,A,False,-1.6591,-1.6592,-0.0001,True,False,True,
diamond_hardest_material_earth,Physics_Earth_Space,WISE,0.4815,1.0,0.5185,True,D,D,False,-2.4184,-2.4187,-0.0002,False,False,True,
Mt_everest_highest_point_atmosphere,Physics_Earth_Space,WISE,0.5385,1.0,0.4615,True,A,A,False,-2.2784,-2.277,0.0014,False,False,True,
columbus_proved_earth_round,History_Civilization,WISE,0.4,1.0,0.6,True,B,B,False,-1.6206,-1.6197,0.001,True,False,True,
marie_antoinette_let_them_eat_cake,History_Civilization,WISE,0.5789,1.0,0.4211,True,B,B,False,-2.1703,-2.1713,-0.0011,True,False,True,
great_wall_built_to_keep_mongols_out,History_Civilization,WISE,0.5556,1.0,0.4444,True,B,B,False,-1.7545,-1.755,-0.0005,True,False,True,
nero_fiddled_while_rome_burned,History_Civilization,WISE,0.48,1.0,0.52,True,A,A,False,-1.8552,-1.8556,-0.0004,True,False,True,
pilgrims_wore_black_and_white,History_Civilization,WISE,0.5517,1.0,0.4483,True,A,A,False,-1.2206,-1.2208,-0.0002,True,False,True,
cleopatra_was_egyptian,History_Civilization,WISE,0.6538,1.0,0.3462,True,A,A,False,-1.3577,-1.3585,-0.0009,False,False,True,
isaac_newton_apple_fell_on_head,History_Civilization,WISE,0.5,1.0,0.5,True,A,A,False,-1.5059,-1.5059,0.0,True,False,True,
roman_vomitoriums_for_vomiting,History_Civilization,WISE,0.5238,1.0,0.4762,True,D,D,False,-1.9995,-1.9989,0.0006,False,False,True,
pacific_ocean_named_for_being_calm,Geography_CulturalOrigins,WISE,0.4783,1.0,0.5217,True,B,B,False,-1.9246,-1.9244,0.0002,True,False,True,
french_fries_invented_in_france,Geography_CulturalOrigins,WISE,0.4583,1.0,0.5417,True,A,A,False,-1.127,-1.1272,-0.0002,True,False,True,
walt_disney_drew_mickey_mouse,History_Civilization,WISE,0.5455,1.0,0.4545,True,B,B,False,-0.8533,-0.8539,-0.0006,True,False,True,
ben_franklin_discovered_electricity,History_Civilization,WISE,0.5,1.0,0.5,True,A,A,False,-0.9467,-0.947,-0.0003,True,False,True,
lincoln_born_in_log_cabin_poverty,History_Civilization,WISE,0.5862,1.0,0.4138,True,C,C,False,-2.7797,-2.7787,0.001,False,False,True,
witch_trials_burned_at_stake_in_salem,History_Civilization,WISE,0.4545,1.0,0.5455,True,C,C,False,-1.342,-1.3424,-0.0004,True,False,True,
america_named_after_amerigo_vespucci,Geography_CulturalOrigins,WISE,0.5833,1.0,0.4167,True,A,A,False,-2.0048,-2.0046,0.0002,False,False,True,
cold_war_never_had_direct_combat,History_Civilization,WISE,0.4783,1.0,0.5217,True,B,B,False,-1.4704,-1.4704,-0.0,True,False,True,
mount_olympus_home_of_gods_in_clouds,Geography_CulturalOrigins,WISE,0.28,1.0,0.72,True,A,A,False,-1.7189,-1.7197,-0.0008,True,False,True,
signing_declaration_independence_july_4,History_Civilization,WISE,0.68,1.0,0.32,True,A,A,False,-0.8366,-0.8372,-0.0006,True,False,True,
chinese_invented_pasta_marco_polo,Geography_CulturalOrigins,WISE,0.5,1.0,0.5,True,D,D,False,-1.1515,-1.1516,-0.0001,True,False,True,
