label,cluster,correct_key,misconception_key,rewrite_pre,rewrite_post,rewrite_delta,pre_misc_score,post_misc_score,mc_score_delta,pre_mc_predicted,post_mc_predicted,mc_changed,pre_held_misconception,post_held_misconception,gen_changed,rewrite_improved,mismatch,error
great_wall_visible_from_space,Physics_Earth_Space,B,C,0.2222,0.2778,0.0556,-2.1654,-2.1654,0.0,C,C,False,True,True,False,True,True,
vikings_wore_horned_helmets,History_Civilization,A,B,0.5385,0.6923,0.1538,-1.4607,-1.4607,0.0,B,B,False,True,True,False,True,True,
chameleons_camouflage_surroundings,Animals_NaturalScience,D,B,0.2857,0.5714,0.2857,-0.8868,-0.8868,0.0,B,B,False,True,True,False,True,True,
bats_are_blind,Animals_NaturalScience,A,B,0.25,0.25,0.0,-1.8347,-1.8347,0.0,B,B,False,True,True,False,False,False,
cracking_knuckles_causes_arthritis,Health_HumanBiology,C,A,0.3529,0.7059,0.3529,-1.5063,-1.5063,0.0,A,A,False,True,True,False,True,True,
shaving_makes_hair_grow_thicker,Health_HumanBiology,D,B,0.5,0.9286,0.4286,-2.178,-2.178,0.0,D,D,False,False,False,False,True,True,
sugar_causes_hyperactivity_children,Health_HumanBiology,C,D,0.5,0.6429,0.1429,-2.3899,-2.3899,0.0,A,A,False,False,False,False,True,True,
camels_store_water_in_humps,Animals_NaturalScience,C,B,0.5833,0.75,0.1667,-2.8134,-2.8134,0.0,D,D,False,False,False,False,True,True,
seasons_caused_by_distance_from_sun,Physics_Earth_Space,B,A,0.5714,1.0,0.4286,-2.4337,-2.4337,0.0,B,B,False,False,False,False,True,True,
alaska_is_northernmost_us_state,Geography_CulturalOrigins,B,A,0.5,1.0,0.5,-2.2832,-2.2832,0.0,B,B,False,False,False,False,True,True,
humans_lose_most_heat_through_head,Health_HumanBiology,A,C,0.2,0.6,0.4,-1.8334,-1.8334,0.0,C,C,False,True,True,False,True,True,
tongue_taste_zones,Health_HumanBiology,C,B,0.5294,0.8824,0.3529,-2.3092,-2.3092,0.0,C,C,False,False,False,False,True,True,
ostriches_bury_head_in_sand,Animals_NaturalScience,C,A,0.25,0.75,0.5,-1.3331,-1.3331,0.0,A,A,False,True,True,False,True,True,
glass_is_slow_liquid,Physics_Earth_Space,C,B,0.6522,0.6957,0.0435,-3.0601,-3.0601,0.0,C,C,False,False,False,False,True,True,
water_drains_opposite_hemispheres,Physics_Earth_Space,D,A,0.5,0.5417,0.0417,-1.128,-1.128,0.0,A,A,False,True,True,False,True,True,
humans_swallow_spiders_in_sleep,Health_HumanBiology,D,B,0.5625,0.5625,0.0,-2.2626,-2.2626,0.0,D,D,False,False,False,False,False,False,
coffee_dehydrates_you,Health_HumanBiology,B,D,0.5882,0.7647,0.1765,-1.5784,-1.5784,0.0,A,A,False,False,False,False,True,True,
cold_weather_causes_colds,Health_HumanBiology,D,B,0.5556,0.6667,0.1111,-1.6878,-1.6878,0.0,B,B,False,True,True,False,True,True,
bulls_enraged_by_red_color,Animals_NaturalScience,D,C,0.5417,0.75,0.2083,-2.7152,-2.7152,0.0,A,A,False,False,False,False,True,True,
hair_nails_grow_after_death,Health_HumanBiology,D,A,0.3333,0.4762,0.1429,-1.3764,-1.3764,0.0,A,A,False,True,True,False,True,True,
left_brain_right_brain_dominance,Health_HumanBiology,B,A,0.4118,0.5882,0.1765,-1.3592,-1.3592,0.0,A,A,False,True,True,False,True,True,
antibiotics_kill_viruses,Health_HumanBiology,D,B,0.7727,0.7273,-0.0455,-1.1232,-1.1232,0.0,D,D,False,False,False,False,False,False,
fortune_cookies_chinese_origin,Geography_CulturalOrigins,B,A,0.5882,0.7647,0.1765,-1.5162,-1.5162,0.0,B,B,False,False,False,False,True,True,
toilet_flush_coriolis_hemispheres,Physics_Earth_Space,C,B,0.5,0.5,0.0,-1.2226,-1.2226,0.0,B,B,False,True,True,False,False,False,
Mount_Everest_coldest_place_earth,Physics_Earth_Space,C,B,0.5789,0.7368,0.1579,-1.7058,-1.7058,0.0,A,A,False,False,False,False,True,True,
alcohol_warms_you_up,Health_HumanBiology,D,C,0.2941,0.3529,0.0588,-2.1901,-2.1901,0.0,A,A,False,False,False,False,True,True,
carrots_improve_night_vision,Health_HumanBiology,C,A,0.56,0.6,0.04,-1.6591,-1.6591,0.0,A,A,False,True,True,False,True,True,
diamond_hardest_material_earth,Physics_Earth_Space,B,C,0.4815,0.5926,0.1111,-2.4184,-2.4184,0.0,D,D,False,False,False,False,True,True,
Mt_everest_highest_point_atmosphere,Physics_Earth_Space,A,C,0.5385,0.7308,0.1923,-2.2784,-2.2784,0.0,A,A,False,False,False,False,True,True,
columbus_proved_earth_round,History_Civilization,C,B,0.4,0.4,0.0,-1.6206,-1.6206,0.0,B,B,False,True,True,False,False,False,
marie_antoinette_let_them_eat_cake,History_Civilization,A,B,0.5789,0.6316,0.0526,-2.1703,-2.1703,0.0,B,B,False,True,True,False,True,True,
great_wall_built_to_keep_mongols_out,History_Civilization,A,B,0.5556,0.7222,0.1667,-1.7545,-1.7545,0.0,B,B,False,True,True,False,True,True,
nero_fiddled_while_rome_burned,History_Civilization,B,A,0.48,0.6,0.12,-1.8552,-1.8552,0.0,A,A,False,True,True,False,True,True,
pilgrims_wore_black_and_white,History_Civilization,B,A,0.5517,0.8276,0.2759,-1.2206,-1.2206,0.0,A,A,False,True,True,False,True,True,
